BIO,review,cause,cause_ type,cause_tokenized,review_tokenized,review_tokenized_bert,cause_tokenized_bert,tagged_review_bert,emotion_keywords,emotion_ category,emotion_text,emotion
"['B', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O','O','O']","الرواية رائعة جدا يا دكتور . حضرتك تبنيتي موضوع عظيم واظهرتي دور للمقاومة وشباب المقاومة .. حسان ،، احمد",الراوية . تبنيتي موضوع عظيم واظهرتي دور للمقاومة وشباب المقاومة,جملة اسمية (مبتدأ )   /  جملة فعلية  /  جملة فعلية,"['الراوية', '.', 'تبنيتي', 'موضوع', 'عظيم', 'واظهرتي', 'دور', 'للمقاومة', 'وشباب', 'المقاومة']","['الرواية', 'رائعة', 'جدا', 'يا','دكتور', '.','حضرتك', 'تبنيتي', 'موضوع', 'عظيم', 'واظهرتي', 'دور', 'للمقاومة', 'وشباب', 'المقاومة', '..', 'حسان', '،،', 'احمد']","['لراوي', '##ة', 'رايعة', 'جدا', 'يا', 'دكتور', '.', 'حضرت', '##ك', 'تبني', '##تي', 'موضوع', 'عظيم', 'واظهرت', '##ي', 'دور', 'للمقاومة', 'وشباب', 'المقاومة', '.', '.', 'حسان', '،', '،', 'احمد']","['الراوي', '##ة', '.', 'تبني', '##تي', 'موضوع', 'عظيم', 'واظهرت', '##ي', 'دور', 'للمقاومة', 'وشباب', 'المقاومة']","['B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O','O']","['رائعة ,surprise', 'عظيم ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']",الحاجة الكويسة ان الرواية من الروايات النظيفة اللي بتخلو من الالفاظ او الابتذال اللي موجود كتير دلوقتي,الرواية من الروايات النظيفة اللي بتخلو من الالفاظ او الابتذال,اسم ان و خبرها ,"['الرواية', 'من', 'الروايات', 'النظيفة', 'اللي', 'بتخلو', 'من', 'الالفاظ', 'او', 'الابتذال']","['الحاجة', 'الكويسة', 'ان', 'الرواية', 'من', 'الروايات', 'النظيفة', 'اللي', 'بتخلو', 'من', 'الالفاظ', 'او', 'الابتذال', 'اللي', 'موجود', 'كتير', 'دلوقتي']","['الحاجة', 'الكو', '##يسة', 'ان', 'الرواية', 'من', 'الروايات', 'النظ', '##يفة', 'اللي', 'بتخ', '##لو', 'من', 'الالفاظ', 'او', 'الابت', '##ذا', '##ل', 'اللي', 'موجود', 'كتير', 'دل', '##وقت', '##ي']","['الرواية', 'من', 'الروايات', 'النظ', '##يفة', 'اللي', 'بتخ', '##لو', 'من', 'الالفاظ', 'او', 'الابت', '##ذا', '##ل']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']",[],3,joy,joy
"['O', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'I','I','O']",إيجابيات : . الغلاف عجبني . في قصص بس اللي عجبوني . الاسلوب في بعض القصص عجبني,الغلاف . قصص . الاسلوب في بعض القصص,جملة اسمية (مبتدأ )  /  فاعل  /  جملة اسمية (مبتدأ )  جار و مجرور و مضاف اليه ,"['الغلاف', '.', 'قصص', '.','الاسلوب', 'في', 'بعض', 'القصص']","['إيجابيات', ':', '.', 'الغلاف', 'عجبني', '.', 'في', 'قصص', 'بس', 'اللي', 'عجبوني','.','الاسلوب', 'في', 'بعض', 'القصص', 'عجبني']","['ايجابيا', '##ت', ':', '.', 'الغلاف', 'عجب', '##ني', '.', 'في', 'قصص', 'بس', 'اللي', 'عجب', '##وني', '.', 'الاسلوب', 'في', 'بعض', 'القصص', 'عجب', '##ني']","['الغلاف', '.', 'قصص', '.', 'الاسلوب', 'في', 'بعض', 'القصص']","['O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O']",[],3,joy,joy
"['B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",الكتاب في مجمله متوسط و يتكلم عن فهم المؤلف للإسلام على انه حركة تجديدية تستهدف رفعة الانسان و انه لا ينتصر بغير مجهود البشر الذي يباركه الله و يوفقه,الكتاب يتكلم عن فهم المؤلف للإسلام على انه حركة تجديدية تستهدف رفعة الانسان و انه لا ينتصر بغير مجهود البشر الذي يباركه الله و يوفقه,جملة اسمية / اسم ان و خبرها ,"['الكتاب','يتكلم', 'عن', 'فهم', 'المؤلف', 'للإسلام', 'على', 'انه', 'حركة', 'تجديدية', 'تستهدف', 'رفعة', 'الانسان', 'و', 'انه', 'لا', 'ينتصر', 'بغير', 'مجهود', 'البشر', 'الذي', 'يباركه', 'الله', 'و', 'يوفقه']","['الكتاب', 'في', 'مجمله', 'متوسط', 'و', 'يتكلم', 'عن', 'فهم', 'المؤلف', 'للإسلام', 'على', 'انه', 'حركة', 'تجديدية', 'تستهدف', 'رفعة', 'الانسان', 'و', 'انه', 'لا', 'ينتصر', 'بغير', 'مجهود', 'البشر', 'الذي', 'يباركه', 'الله', 'و', 'يوفقه']","['الكتاب', 'في', 'مجمل', '##ه', 'متوسط', 'و', 'يتكلم', 'عن', 'فهم', 'المولف', 'للاسلام', 'على', 'انه', 'حركة', 'تجديد', '##ية', 'تستهدف', 'رفع', '##ة', 'الانسان', 'و', 'انه', 'لا', 'ينت', '##صر', 'بغير', 'مجهود', 'البشر', 'الذي', 'يب', '##ارك', '##ه', 'الله', 'و', 'يوفق', '##ه']","['الكتاب', 'يتكلم', 'عن', 'فهم', 'المولف', 'للاسلام', 'على', 'انه', 'حركة', 'تجديد', '##ية', 'تستهدف', 'رفع', '##ة', 'الانسان', 'و', 'انه', 'لا', 'ينت', '##صر', 'بغير', 'مجهود', 'البشر', 'الذي', 'يب', '##ارك', '##ه', 'الله', 'و', 'يوفق', '##ه']","['B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['ينتصر ,joy']",3,joy,joy
"['B', 'I', 'I', 'I','I', 'O', 'B', 'I', 'I', 'I','I']",الاثات جديد و ديكورات الشاليه ممتازه و قرب الشاطى من الشاليه,الاثات جديد وديكورات الشاليه و قرب الشاطى من الشاليه,جملة اسمية (مبتدأ ) و معطوف عليه  /  جملة اسمية (معطوف عليه ),"['الاثات', 'جديد', 'وديكورات', 'الشاليه', 'و','قرب', 'الشاطى', 'من', 'الشاليه']","['الاثات', 'جديد', 'و','ديكورات', 'الشاليه', 'ممتازه', 'و','قرب', 'الشاطى', 'من', 'الشاليه']","['الاث', '##ات', 'جديد',  'وديكور', '##ات', 'الشا', '##ليه', 'ممتاز', '##ه', 'و', 'قرب', 'الشاط', '##ى', 'من', 'الشا', '##ليه']","['الاث', '##ات', 'جديد', 'وديكور', '##ات', 'الشا', '##ليه', 'و', 'قرب', 'الشاط', '##ى', 'من', 'الشا', '##ليه']","['B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I']",[],3,joy,joy
"['O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I','I','I']",جميل . لغة الرواية جيدة و كذلك فكرتها و سياقها التاريخي,لغة الرواية و كذلك فكرتها و سياقها التاريخي,جملة اسمية و معطوفات,"['لغة', 'الرواية', 'و','كذلك', 'فكرتها', 'و','سياقها', 'التاريخي']","['جميل', '.', 'لغة', 'الرواية', 'جيدة', 'و','كذلك', 'فكرتها', 'و','سياقها', 'التاريخي']","['جميل', '.', 'لغة', 'الرواية', 'جيدة', 'و', 'كذلك', 'فكرت', '##ها', 'و', 'سياق', '##ها', 'التاريخي']","['لغة', 'الرواية', 'و', 'كذلك', 'فكرت', '##ها', 'و', 'سياق', '##ها', 'التاريخي']","['O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['جميل ,joy', 'جيدة ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I','I']",جميل . مجموعة خدمات متوفره وقريبه . تعامل جيد,مجموعة خدمات متوفره وقريبه . تعامل جيد,جملة اسمية  /  جملة اسمية,"['مجموعة', 'خدمات', 'متوفره', 'وقريبه', '.', 'تعامل', 'جيد']","['جميل', '.','مجموعة', 'خدمات', 'متوفره', 'وقريبه', '.', 'تعامل', 'جيد']","['جميل', '.', 'مجموعة', 'خدمات', 'متوفر', '##ه', 'وقر', '##يبه', '.', 'تعامل', 'جيد']","['مجموعة', 'خدمات', 'متوفر', '##ه', 'وقر', '##يبه', '.', 'تعامل', 'جيد']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['جميل ,joy', 'جيد ,joy']",3,joy,joy
"['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",رائع . قربه من منطقه الحرم و توفر باصات النقل .تعامل الاستقبال جيد,قربه من منطقه الحرم و توفر باصات النقل .تعامل الاستقبال جيد,جملة اسمية  /  جملة اسمية  (معطوف عليه ) /  جملة اسمية,"['قربه', 'من', 'منطقه', 'الحرم', 'و', 'توفر', 'باصات', 'النقل', '.تعامل', 'الاستقبال', 'جيد']","['رائع', '.', 'قربه', 'من', 'منطقه', 'الحرم', 'و', 'توفر', 'باصات', 'النقل', '.تعامل', 'الاستقبال', 'جيد']","['رايع', '.', 'قرب', '##ه', 'من', 'منطق', '##ه', 'الحرم', 'و', 'توفر', 'باص', '##ات', 'النقل', '.', 'تعامل', 'الاستقبال', 'جيد']","['قرب', '##ه', 'من', 'منطق', '##ه', 'الحرم', 'و', 'توفر', 'باص', '##ات', 'النقل', '.', 'تعامل', 'الاستقبال', 'جيد']","['O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['رائع ,joy', 'جيد ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'O', 'B', 'I', 'I']",مقبول . هناك جزء أعجبني في بعض القصائد,جزء في بعض القصائد,جمل اسمية (خبر) / جار و مجرور  و مضاف اليه ,"['جزء', 'في', 'بعض', 'القصائد']","['مقبول', '.', 'هناك', 'جزء', 'أعجبني', 'في', 'بعض', 'القصائد']","['مقبول', '.', 'هناك', 'جزء', 'اعجب', '##ني', 'في', 'بعض', 'القصايد']","['جزء', 'في', 'بعض', 'القصايد']","['O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I']","['مقبول ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","رائع جدا . تركيز الراوية علي الرضى بالقضاء ، و الحمد لله هذا مهم في الرواية",تركيز الراوية علي الرضى بالقضاء,جملة اسمية ,"['تركيز', 'الراوية', 'علي', 'الرضى', 'بالقضاء']","['رائع', 'جدا', '.', 'تركيز', 'الراوية', 'علي', 'الرضى', 'بالقضاء', '،', 'و', 'الحمد', 'لله', 'هذا', 'مهم', 'في', 'الرواية']","['رايع', 'جدا', '.', 'تركيز', 'الراوي', '##ة', 'علي', 'الرض', '##ى', 'بالقضاء', '،', 'و', 'الحمد', 'لله', 'هذا', 'مهم', 'في', 'الرواية']","['تركيز', 'الراوي', '##ة', 'علي', 'الرض', '##ى', 'بالقضاء']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['رائع ,joy']",3,joy,joy
"['B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",الفكره نفسها جميله . الخوف من الدفن وليس الموت أى ماذا بعد الموت . ممكن تلخص كل الرواية في مقولة لنجيب محفوظ إن الخوف لا يمنع الموت ولكنه يمنع الحياة,الفكره نفسها جميله . إن الخوف لا يمنع الموت ولكنه يمنع الحياة,جملة اسمية / اسم ان و خبرها   / اسم ان و خبرها ,"['الفكره', 'نفسها', 'جميله', '.', 'إن', 'الخوف', 'لا', 'يمنع', 'الموت', 'ولكنه', 'يمنع', 'الحياة']","['الفكره', 'نفسها', 'جميله', '.', 'الخوف', 'من', 'الدفن', 'وليس', 'الموت', 'أى', 'ماذا', 'بعد', 'الموت', '.', 'ممكن', 'تلخص', 'كل', 'الرواية', 'في', 'مقولة', 'لنجيب', 'محفوظ', 'إن', 'الخوف', 'لا', 'يمنع', 'الموت', 'ولكنه', 'يمنع', 'الحياة']","['الفكر', '##ه', 'نفسها', 'جميله', '.', 'الخوف', 'من', 'الدفن', 'وليس', 'الموت', 'اى', 'ماذا', 'بعد', 'الموت', '.', 'ممكن', 'تل', '##خص', 'كل', 'الرواية', 'في', 'مقولة', 'لن', '##جيب', 'محفوظ', 'ان', 'الخوف', 'لا', 'يمنع', 'الموت', 'ولكنه', 'يمنع', 'الحياة']","['الفكر', '##ه', 'نفسها', 'جميله', '.', 'ان', 'الخوف', 'لا', 'يمنع', 'الموت', 'ولكنه', 'يمنع', 'الحياة']","['B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['الخوف ,fear', 'الموت ,anger', 'الموت ,anger', 'الخوف ,fear', 'الموت ,anger']",3,joy,joy
"['B', 'O', 'O', 'B', 'I']",الكتاب جيد وأعجبني تحليله للسلفية,الكتاب تحليله للسلفية,جملة اسمية (مبتدأ ) / مفعول به و جار و مجرور ,"['الكتاب','تحليله', 'للسلفية']","['الكتاب', 'جيد', 'وأعجبني', 'تحليله', 'للسلفية']","['الكتاب', 'جيد', 'واع', '##جب', '##ني', 'تحليل', '##ه', 'للسل', '##فية']","['الكتاب', 'تحليل', '##ه', 'للسل', '##فية']","['B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I']","['جيد ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B']",رائع . بإمكانك تمضية بعض الوقت الممتع العصيب مع هذا الكتاب,الكتاب,بدل ,['الكتاب'],"['رائع', '.', 'بإمكانك', 'تمضية', 'بعض', 'الوقت', 'الممتع', 'العصيب', 'مع', 'هذا', 'الكتاب']","['رايع', '.', 'بامكانك', 'تم', '##ضية', 'بعض', 'الوقت', 'الممت', '##ع', 'العص', '##يب', 'مع', 'هذا', 'الكتاب']",['الكتاب'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B']","['رائع ,joy']",3,joy,joy
"['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B']",كتاب جميل طلعني من جو الكأبه اللي كنت فيه . شابوو د/احمد,كتاب . د/احمد,جملة اسمية (مبتدأ ) / مفعول به,"['كتاب', '.', 'د/احمد']","['كتاب', 'جميل', 'طلعني', 'من', 'جو', 'الكأبه', 'اللي', 'كنت', 'فيه', '.', 'شابوو', 'د/احمد']","['كتاب', 'جميل', 'طلع', '##ني', 'من', 'جو', 'الكا', '##به', 'اللي', 'كنت', 'فيه', '.', 'شاب', '##وو', 'د', '/', 'احمد']","['كتاب', '.', 'د', '/', 'احمد']","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I']","['جميل ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I']",غير مرضي . . لا توجد مواقف كافيه للسيارات,لا توجد مواقف كافيه للسيارات,جملة فعلية,"['لا', 'توجد', 'مواقف', 'كافيه', 'للسيارات']","['غير', 'مرضي', '.', '.', 'لا', 'توجد', 'مواقف', 'كافيه', 'للسيارات']","['غير', 'مرض', '##ي', '.', '.', 'لا', 'توجد', 'مواقف', 'كافيه', 'للسيارات']","['لا', 'توجد', 'مواقف', 'كافيه', 'للسيارات']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I']","['مرضي ,joy']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I']",وسط عجمان . موقعه متوسط وجيد وقريب منه مسجد,موقعه متوسط وجيد وقريب منه مسجد,جملة اسمية / جملة اسمية (معطوفة ),"['موقعه', 'متوسط', 'وجيد', 'وقريب', 'منه', 'مسجد']","['وسط', 'عجمان', '.', 'موقعه', 'متوسط', 'وجيد', 'وقريب', 'منه', 'مسجد']","['وسط', 'عجمان', '.', 'موقعه', 'متوسط', 'وج', '##يد', 'وقر', '##يب', 'منه', 'مسجد']","['موقعه', 'متوسط', 'وج', '##يد', 'وقر', '##يب', 'منه', 'مسجد']","['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",[],3,joy,joy
"['O','O','O','O','B','I','I','I','I','I','I','I','I','I','I','I','I','I','I','I','I','I']",جميل  . أعتقد أن الكتاب مفيد للمسلمين ذلك أنه يجاوب على بعض الأسئلة التي تدور بخلد كل مسلم ولا يجرؤ على طرحها,الكتاب مفيد للمسلمين ذلك أنه يجاوب على بعض الأسئلة التي تدور بخلد كل مسلم ولا يجرؤ على طرحها,اسم ان و خبرها / اسم ان و خبرها  / جملة فعلية ,"[ 'الكتاب', 'مفيد', 'للمسلمين', 'ذلك', 'أنه', 'يجاوب', 'على', 'بعض', 'الأسئلة', 'التي', 'تدور', 'بخلد', 'كل', 'مسلم', 'ولا', 'يجرؤ', 'على', 'طرحها']","[ 'جميل ','.','أعتقد', 'أن', 'الكتاب', 'مفيد', 'للمسلمين', 'ذلك', 'أنه', 'يجاوب', 'على', 'بعض', 'الأسئلة', 'التي', 'تدور', 'بخلد', 'كل', 'مسلم', 'ولا', 'يجرؤ', 'على', 'طرحها']","['جميل', '.', 'اعتقد', 'ان', 'الكتاب', 'مفيد', 'للمسلمين', 'ذلك', 'انه', 'يج', '##اوب', 'على', 'بعض', 'الاسيلة', 'التي', 'تدور', 'بخل', '##د', 'كل', 'مسلم', 'ولا', 'يج', '##رو', 'على', 'طرحها']","['الكتاب', 'مفيد', 'للمسلمين', 'ذلك', 'انه', 'يج', '##اوب', 'على', 'بعض', 'الاسيلة', 'التي', 'تدور', 'بخل', '##د', 'كل', 'مسلم', 'ولا', 'يج', '##رو', 'على', 'طرحها']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['جميل ,joy', 'مفيد ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",تعلمك كيف أن زاهي يمكن أن لا يكون كذلك .. ليست أفضل روايات عبدالله ثابت لكنها حوت الكثير من المشاهد التي تتعمق في النفس البشرية وتجعلها تتساءل,حوت الكثير من المشاهد التي تتعمق في النفس البشرية وتجعلها تتساءل,جملة فعلية  / جملة فعلية,"['حوت', 'الكثير', 'من', 'المشاهد', 'التي', 'تتعمق', 'في', 'النفس', 'البشرية', 'وتجعلها', 'تتساءل']","['تعلمك', 'كيف', 'أن', 'زاهي', 'يمكن', 'أن', 'لا', 'يكون', 'كذلك', '..', 'ليست', 'أفضل', 'روايات', 'عبدالله', 'ثابت', 'لكنها', 'حوت', 'الكثير', 'من', 'المشاهد', 'التي', 'تتعمق', 'في', 'النفس', 'البشرية', 'وتجعلها', 'تتساءل']","['تعلم', '##ك', 'كيف', 'ان', 'ز', '##اهي', 'يمكن', 'ان', 'لا', 'يكون', 'كذلك', '.', '.', 'ليست', 'افضل', 'روايات', 'عبدالله', 'ثابت', 'لكنها', 'حو', '##ت', 'الكثير', 'من', 'المشاهد', 'التي', 'تتع', '##مق', 'في', 'النفس', 'البشرية', 'وتج', '##علها', 'تتس', '##اء', '##ل']","['حو', '##ت', 'الكثير', 'من', 'المشاهد', 'التي', 'تتع', '##مق', 'في', 'النفس', 'البشرية', 'وتج', '##علها', 'تتس', '##اء', '##ل']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['أفضل ,joy', 'تتساءل ,surprise']",3,joy,joy
"['O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",كنت اتحرق شوقا لمعرفة النهاية الفكرة جديدة و هي ربط الصرع بدمار الارض,لمعرفة النهاية الفكرة جديدة و هي ربط الصرع بدمار الارض,اسم مجرور  و مضاف اليه /  جملة اسمية   /  جملة اسمية,"['لمعرفة', 'النهاية', 'الفكرة', 'جديدة', 'و', 'هي', 'ربط', 'الصرع', 'بدمار', 'الارض']","['كنت', 'اتحرق', 'شوقا', 'لمعرفة', 'النهاية', 'الفكرة', 'جديدة', 'و', 'هي', 'ربط', 'الصرع', 'بدمار', 'الارض']","['كنت', 'اتح', '##رق', 'شوق', '##ا', 'لمعرفة', 'النهاية', 'الفكرة', 'جديدة', 'و', 'هي', 'ربط', 'الص', '##رع', 'بدم', '##ار', 'الارض']","['لمعرفة', 'النهاية', 'الفكرة', 'جديدة', 'و', 'هي', 'ربط', 'الص', '##رع', 'بدم', '##ار', 'الارض']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",[],3,joy,joy
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']",روايه جميله ولكنها تضعك فى شك بين الواقع والخيال .. لما خلصت الروايه عرفت ان كل التواريخ المذكوره فيها بالاحداث حقيقه والشخصيه نفسها قدرت اتوقعها وده الى لخبطنى هى قصه حقيقه ولا بعض الحقائق بنى عليها كثير من الخيال .... مجملها جميل لانى بحب السودان والنيل والجنوب عموما لهم طعم خاص,رواية .. مجملها جميل لانى بحب السودان والنيل والجنوب عموما لهم طعم خاص,جملة اسمية (مبتدأ )  /  جملة اسمية  / اسم ان و خبرها  / جملة اسمية ,"['رواية', '..', 'مجملها', 'جميل', 'لانى', 'بحب', 'السودان', 'والنيل', 'والجنوب', 'عموما', 'لهم', 'طعم', 'خاص']","['روايه', 'جميله', 'ولكنها', 'تضعك', 'فى', 'شك', 'بين', 'الواقع', 'والخيال', '..', 'لما', 'خلصت', 'الروايه', 'عرفت', 'ان', 'كل', 'التواريخ', 'المذكوره', 'فيها', 'بالاحداث', 'حقيقه', 'والشخصيه', 'نفسها', 'قدرت', 'اتوقعها', 'وده', 'الى', 'لخبطنى', 'هى', 'قصه', 'حقيقه', 'ولا', 'بعض', 'الحقائق', 'بنى', 'عليها', 'كثير', 'من', 'الخيال', '....', 'مجملها', 'جميل', 'لانى', 'بحب', 'السودان', 'والنيل', 'والجنوب', 'عموما', 'لهم', 'طعم', 'خاص']","['رواي', '##ه', 'جميله', 'ولكنها', 'تضع', '##ك', 'فى', 'شك', 'بين', 'الواقع', 'والخ', '##يال', '.', '.', 'لما', 'خلص', '##ت', 'الروا', '##يه', 'عرفت', 'ان', 'كل', 'التو', '##اريخ', 'المذكور', '##ه', 'فيها', 'بالاح', '##داث', 'حقيق', '##ه', 'والش', '##خص', '##يه', 'نفسها', 'قدرت', 'اتوقع', '##ها', 'ود', '##ه', 'الى', 'لخ', '##بط', '##نى', 'هى', 'قص', '##ه', 'حقيق', '##ه', 'ولا', 'بعض', 'الحقايق', 'بنى', 'عليها', 'كثير', 'من', 'الخيال', '.', '.', '.', '.', 'مجمل', '##ها', 'جميل', 'لان', '##ى', 'بحب', 'السودان', 'والن', '##يل', 'والجنوب', 'عموما', 'لهم', 'طعم', 'خاص']","['رواي', '##ه', '.', '.', 'مجمل', '##ها', 'جميل', 'لان', '##ى', 'بحب', 'السودان', 'والن', '##يل', 'والجنوب', 'عموما', 'لهم', 'طعم', 'خاص']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['شك ,fear', 'الخيال ,surprise', 'جميل ,joy', 'بحب ,joy', 'طعم ,joy']",3,joy,joy
"['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']",كنت دوما أخاف من روايات الجوائز وأتوجس منها ..,روايات الجوائز,اسم مجرور و مضاف اليه,"['روايات', 'الجوائز']","['كنت', 'دوما', 'أخاف', 'من', 'روايات', 'الجوائز', 'و أتوجس', 'منها', '..']","['كنت', 'دوما', 'اخاف', 'من', 'روايات', 'الجوايز', 'وات', '##وج', '##س', 'منها', '.', '.']","['روايات', 'الجوايز']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O']","['أخاف ,fear','أتوجس']",2,fear,fear
